order_id,cust_id,category,amount,order_date
1,110,Services,$341.12,2024-01-02
2,109,Training,$192.61,2024-01-03
3,104,Hardware,$233.74,2024-01-03
4,112,Software,$258.67,2024-01-03
5,114,Training,$200.20,2024-01-04
6,107,Software,$97.40,2024-01-05
7,115,Training,$304.64,2024-01-05
8,109,Training,$89.46,2024-01-07
9,104,Hardware,$269.89,2024-01-09
10,111,Hardware,$321.79,2024-01-15
11,111,Training,$221.66,2024-01-15
12,111,Services,$129.54,2024-01-16
13,103,Training,$228.57,2024-01-17
14,110,Software,$310.19,2024-01-18
15,106,Software,$316.94,2024-01-18
16,104,Training,$348.36,2024-01-20
17,110,Software,$241.19,2024-01-21
18,111,Software,$262.16,2024-01-21
19,112,Hardware,$101.94,2024-01-24
20,103,Training,$297.86,2024-01-26
21,105,Training,$366.73,2024-01-27
22,102,Training,$172.33,2024-01-28
23,101,Software,$265.33,2024-01-30
24,114,Services,$214.06,2024-01-30
25,106,Hardware,$215.89,2024-01-30
26,106,Training,$190.41,2024-01-30
27,108,Services,$211.59,2024-02-01
28,108,Hardware,$242.81,2024-02-01
29,116,Software,$257.24,2024-02-03
30,112,Training,$311.53,2024-02-04
31,101,Services,$203.21,2024-02-04
32,115,Services,$187.31,2024-02-05
33,109,Software,$346.17,2024-02-05
34,106,Training,$200.62,2024-02-09
35,105,Services,$205.41,2024-02-09
36,109,Training,$267.10,2024-02-09
37,111,Services,$282.37,2024-02-10
38,113,Training,$249.50,2024-02-10
39,112,Software,$296.53,2024-02-11
40,116,Services,$323.74,2024-02-12
41,116,Services,$122.14,2024-02-15
42,111,Software,$105.88,2024-02-17
43,109,Services,$139.36,2024-02-18
44,102,Hardware,$183.42,2024-02-18
45,108,Training,$165.46,2024-02-19
46,110,Training,$173.32,2024-02-21
47,113,Training,$198.40,2024-02-23
48,111,Services,$370.33,2024-02-24
49,111,Software,$263.68,2024-02-25
50,101,Software,$274.67,2024-02-26
51,103,Software,$317.17,2024-02-27
52,109,Services,$192.04,2024-02-27
53,113,Services,$162.91,2024-02-28
54,108,Services,$440.22,2024-02-29
55,114,Services,$284.29,2024-02-29
56,105,Hardware,$320.17,2024-03-01
57,116,Training,$216.82,2024-03-03
58,102,Software,$345.72,2024-03-03
59,113,Training,$310.97,2024-03-06
60,112,Hardware,$203.24,2024-03-06
61,114,Hardware,$371.76,2024-03-06
62,110,Hardware,$187.28,2024-03-09
63,111,Training,$155.77,2024-03-10
64,113,Services,$179.00,2024-03-12
65,103,Training,$367.03,2024-03-12
66,107,Hardware,$432.41,2024-03-13
67,102,Software,$65.55,2024-03-13
68,114,Hardware,$231.41,2024-03-15
69,112,Training,$179.32,2024-03-15
70,105,Training,$486.01,2024-03-17
71,106,Training,$224.29,2024-03-18
